SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Glost2|Glost2_318741	Glost2|Glost2_344548	1.022165	4.137849	0.247028	1215.381867	428.618133	1.787382	5.503427	1818
Glost2|Glost2_340656	Glost2|Glost2_62622	0.647077	3.869654	0.167218	605.915987	174.084013	0.996175	4.098919	870
Glost2|Glost2_44052	Glost2|Glost2_421001	0.959520	2.479494	0.386982	1240.546055	415.453945	1.686152	4.022544	2259
Glost2|Glost2_356398	Glost2|Glost2_385135	0.509075	3.843916	0.132436	674.788530	168.211470	0.947566	3.523518	939
Glost2|Glost2_113233	Glost2|Glost2_267602	0.693679	2.205769	0.314484	275.037709	93.962291	1.570251	3.236154	471
Glost2|Glost2_346004	Glost2|Glost2_357707	0.807820	2.308926	0.349868	1185.670082	410.329918	1.637518	3.581259	1710
Glost2|Glost2_400060	Glost2|Glost2_293821	0.554748	2.349678	0.236095	648.371448	233.628552	2.008666	3.090594	918
Glost2|Glost2_433452	Glost2|Glost2_375252	0.665832	4.207473	0.158250	800.865725	273.134275	1.422625	4.699573	1581
Glost2|Glost2_391468	Glost2|Glost2_379201	0.628608	3.212677	0.195665	5550.864346	1943.135654	1.573846	3.895910	7839
Glost2|Glost2_324162	Glost2|Glost2_384423	0.695995	1.893119	0.367644	903.543209	302.456791	1.363477	2.988676	1434
Glost2|Glost2_112849	Glost2|Glost2_386055	0.838928	2.670564	0.314139	2121.119412	773.880588	1.208211	3.985662	4824
Glost2|Glost2_112839	Glost2|Glost2_428868	0.749803	4.095376	0.183085	760.784613	235.215387	1.174911	4.619681	1059
Glost2|Glost2_442015	Glost2|Glost2_282306	0.465099	1.350052	0.344504	243.148722	89.851278	1.937333	2.111641	570
Glost2|Glost2_415712	Glost2|Glost2_284569	0.861997	4.112153	0.209622	728.463818	240.536182	1.050422	5.006363	1155
Glost2|Glost2_112756	Glost2|Glost2_341986	0.500725	4.287741	0.116781	941.012126	303.987874	1.075828	4.276169	1359
Glost2|Glost2_347041	Glost2|Glost2_339937	0.548602	2.472479	0.221884	685.392251	247.607749	1.928463	3.177533	1479
Glost2|Glost2_356724	Glost2|Glost2_387125	0.763701	4.020108	0.189970	741.244470	212.755530	1.098933	4.469778	1218
Glost2|Glost2_325233	Glost2|Glost2_220396	1.024856	4.685683	0.218721	1514.240684	516.759316	1.706600	5.868904	3096
Glost2|Glost2_301954	Glost2|Glost2_53122	0.845711	4.604727	0.183662	1648.115417	463.884583	1.268145	5.014051	2520
Glost2|Glost2_442481	Glost2|Glost2_271360	0.719114	4.695845	0.153138	1711.190956	523.809044	1.198924	4.953380	2733
Glost2|Glost2_325197	Glost2|Glost2_319782	0.678159	4.491246	0.150996	1191.252460	398.747540	1.412191	4.903269	1689
Glost2|Glost2_133549	Glost2|Glost2_324321	0.673244	4.812742	0.139888	1907.842841	612.157159	1.079170	5.036426	3324
Glost2|Glost2_133528	Glost2|Glost2_374837	0.642519	2.334681	0.275206	2013.933274	716.066726	1.607894	3.259097	3213
Glost2|Glost2_433753	Glost2|Glost2_311655	0.446249	2.982322	0.149631	776.429647	255.570353	1.426038	3.222890	1053
Glost2|Glost2_346964	Glost2|Glost2_311591	0.480339	2.387790	0.201165	771.172896	290.827104	1.607287	3.008076	1065
Glost2|Glost2_301933	Glost2|Glost2_280273	0.515755	3.484973	0.147994	360.766871	104.233129	0.688020	3.543981	1077
Glost2|Glost2_433750	Glost2|Glost2_330853	0.333190	4.847022	0.068741	1963.213896	640.786104	1.423364	4.331829	2730
Glost2|Glost2_204311	Glost2|Glost2_432929	0.518457	1.944059	0.266688	447.592496	149.407504	1.588184	2.625702	1113
Glost2|Glost2_357772	Glost2|Glost2_318841	0.710128	3.439576	0.206458	4000.735832	1312.264168	1.417681	4.152833	6474
Glost2|Glost2_204109	Glost2|Glost2_371837	0.831604	2.605106	0.319221	802.410280	280.589720	1.751548	3.873280	1239
