SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
A1O5|A1O5_00001T0	A1O5|A1O5_00910T0	0.371969	4.528691	0.082136	1272.839015	419.160985	1.508345	4.205155	1752
A1O5|A1O5_00002T0	A1O5|A1O5_10922T0	0.488655	1.816981	0.268938	1156.530406	412.469594	1.620683	2.513563	1605
A1O5|A1O5_00003T0	A1O5|A1O5_11527T0	0.424497	4.465768	0.095056	1165.570621	385.429379	1.522468	4.286304	1608
A1O5|A1O5_00004T0	A1O5|A1O5_08613T0	0.832134	2.749256	0.302676	1104.942160	380.057840	1.505806	3.968357	1977
A1O5|A1O5_00005T0	A1O5|A1O5_11168T0	0.423242	4.505379	0.093942	1282.667535	406.332465	1.771656	4.215916	1782
A1O5|A1O5_00007T0	A1O5|A1O5_02301T0	0.530814	2.188145	0.242586	1249.311574	421.688426	1.565871	2.847160	1740
A1O5|A1O5_00012T0	A1O5|A1O5_06796T0	0.548061	4.429065	0.123742	1141.978451	367.021549	1.052002	4.476017	1725
A1O5|A1O5_00016T0	A1O5|A1O5_01559T0	0.397518	3.999767	0.099385	686.937180	207.062820	1.277608	3.695546	942
A1O5|A1O5_00018T0	A1O5|A1O5_04795T0	0.709569	4.538537	0.156343	1531.300174	424.699826	0.952134	4.622819	2508
A1O5|A1O5_00028T0	A1O5|A1O5_03362T0	0.500408	3.703651	0.135112	899.910020	276.089980	1.452037	3.757303	1539
A1O5|A1O5_00030T0	A1O5|A1O5_11962T0	0.534626	1.260120	0.424266	648.249374	281.750626	6.487927	2.263261	990
A1O5|A1O5_00034T0	A1O5|A1O5_09101T0	0.393680	4.016719	0.098010	748.203641	211.796359	1.086397	3.578998	978
A1O5|A1O5_00035T0	A1O5|A1O5_09102T0	0.451380	3.607990	0.125106	735.188134	122.811866	1.070796	2.709625	945
A1O5|A1O5_00037T0	A1O5|A1O5_11567T0	0.562498	4.631243	0.121457	1484.421428	480.578572	1.137950	4.672763	2361
A1O5|A1O5_00039T0	A1O5|A1O5_01375T0	0.967645	3.299947	0.293230	1100.912712	369.087288	1.602894	4.659716	1749
A1O5|A1O5_00045T0	A1O5|A1O5_09681T0	0.583087	4.073293	0.143149	722.609327	228.390673	1.464806	4.263868	1695
A1O5|A1O5_00046T0	A1O5|A1O5_01940T0	0.804278	2.119566	0.379454	1231.440433	466.559567	1.379800	3.497039	2274
A1O5|A1O5_00047T0	A1O5|A1O5_02344T0	0.815749	2.229191	0.365940	1654.693736	544.306264	1.433375	3.496832	2706
A1O5|A1O5_00048T0	A1O5|A1O5_04918T0	0.557301	4.411490	0.126329	1303.479183	358.520817	1.092754	4.166139	1686
A1O5|A1O5_00049T0	A1O5|A1O5_06420T0	0.711648	4.066078	0.175021	724.795960	226.204040	1.722185	4.528590	1350
A1O5|A1O5_00055T0	A1O5|A1O5_05770T0	0.708428	3.606767	0.196416	501.388245	122.611755	1.174475	3.833796	1446
